Year,Total State Appropriation
2000,"452,356,686"
2001,"475,648,264"
2002,"487,711,594"
2003,"437,938,310"
2004,"422,014,071"
2005,"434,130,282"
2006,"428,848,979"
2007,"439,915,885"
2008,"460,986,208"
2009,"481,794,513"
2010,"506,302,092"
2011,"444,585,468"
2012,"396,524,220"
2013,"397,780,981"
